,StateAbbr,StateDesc,CountyName,CountyFIPS,TractFIPS,BINGE_CrudePrev,CSMOKING_CrudePrev,DEPRESSION_CrudePrev,LPA_CrudePrev,SLEEP_CrudePrev,Geolocation
654,IL,Illinois,Cook,17031,17031710800,9.4,20.3,14.3,38.2,44.0,POINT (-87.64883035 41.74782748)
655,IL,Illinois,Cook,17031,17031670300,10.7,22.1,15.1,36.9,45.0,POINT (-87.66685694 41.79039787)
656,IL,Illinois,Cook,17031,17031240300,20.8,7.2,14.9,11.7,27.4,POINT (-87.67507417 41.91236049)
657,IL,Illinois,Cook,17031,17031837800,14.2,17.9,14.6,27.9,41.4,POINT (-87.68412869 41.88473188)
658,IL,Illinois,Cook,17031,17031611100,13.9,20.0,15.4,40.9,38.6,POINT (-87.65757778 41.80509162)
659,IL,Illinois,Cook,17031,17031825200,16.1,16.5,16.2,25.9,33.9,POINT (-87.72726126 41.59672654)
660,IL,Illinois,Cook,17031,17031030601,13.1,17.3,15.3,29.1,35.1,POINT (-87.65709693 41.98864531)
661,IL,Illinois,Cook,17031,17031820605,14.1,19.9,17.0,29.5,40.6,POINT (-87.83037856 41.73798473)
662,IL,Illinois,Cook,17031,17031430400,10.2,19.9,14.3,35.6,44.6,POINT (-87.59026138 41.76220117)
663,IL,Illinois,Cook,17031,17031804106,14.3,9.9,13.7,17.9,29.7,POINT (-88.05004694 42.08794746)
664,IL,Illinois,Cook,17031,17031440101,9.8,27.8,16.7,43.5,47.9,POINT (-87.60130697 41.74860141)
665,IL,Illinois,Cook,17031,17031836000,11.6,15.9,13.9,27.8,42.7,POINT (-87.61166913 41.81396573)
666,IL,Illinois,Cook,17031,17031825503,11.8,13.7,13.5,25.6,39.0,POINT (-87.68462908 41.57135548)
667,IL,Illinois,Cook,17031,17031110300,14.4,14.2,15.7,24.5,31.4,POINT (-87.78322185 41.97526534)
668,IL,Illinois,Cook,17031,17031831200,14.2,16.5,15.3,38.0,34.9,POINT (-87.73223702 41.91530759)
669,IL,Illinois,Cook,17031,17031063200,17.3,7.2,14.8,14.1,27.2,POINT (-87.63838448 41.93876151)
670,IL,Illinois,Cook,17031,17031242000,17.4,8.6,14.1,17.2,29.9,POINT (-87.66494691 41.8997569)
671,IL,Illinois,Cook,17031,17031804607,14.9,12.2,15.0,20.2,30.9,POINT (-88.05355106 41.99615941)
672,IL,Illinois,Cook,17031,17031810200,14.7,13.3,14.8,22.3,35.1,POINT (-87.68335493 42.02284198)
673,IL,Illinois,Cook,17031,17031081100,17.3,8.2,15.2,14.7,29.1,POINT (-87.62909843 41.9002328)
674,IL,Illinois,Cook,17031,17031803604,15.3,10.6,15.2,18.4,29.1,POINT (-88.04096608 42.12990354)
675,IL,Illinois,Cook,17031,17031100100,15.3,12.9,15.6,21.8,30.4,POINT (-87.78300879 41.98957113)
676,IL,Illinois,Cook,17031,17031520200,13.3,18.7,15.7,40.7,36.6,POINT (-87.53988899 41.71365531)
677,IL,Illinois,Cook,17031,17031243100,18.4,9.0,13.9,17.6,29.0,POINT (-87.67453233 41.89235751)
678,IL,Illinois,Cook,17031,17031824119,14.9,10.9,15.2,18.7,28.9,POINT (-87.9003915 41.57876173)
679,IL,Illinois,Cook,17031,17031820604,16.9,20.9,19.0,27.8,34.7,POINT (-87.8269569 41.74979679)
680,IL,Illinois,Cook,17031,17031060300,20.9,7.8,15.5,12.1,27.8,POINT (-87.67135394 41.95062549)
681,IL,Illinois,Cook,17031,17031570200,14.2,13.8,14.4,31.8,32.4,POINT (-87.73074992 41.8144598)
682,IL,Illinois,Cook,17031,17031350100,11.2,8.3,10.9,20.4,35.0,POINT (-87.61260842 41.84168924)
